!			G1			A			enclitic particle
!			G1			A			vulture, bird in general							
!			G1			A			vulture, bird in general							
!			G1			A			tread							
!			G1			At			striking-power							
!! V 4			G1-X1-N5-Z1			At			striking-power							
!! V			G1-X1-N5			At			moment, instant, time in general							
!! 8 V			G1-X1-Z5-N5			At			moment, instant, time							
!! V 4			G1-X1-N5-Z1			At			moment, instant, time in general							
!! L			G1-X1-F9			At			moment, instant, time in general							
!! L V !			G1-X1-F9-N5			At			moment, instant, time in general							
FV			F3-X1-N5			At			moment, instant, time in general							
1 !! L V			M17-G1-X1-F9-N5			At			moment, instant, time in general							
! n e &			G1-N29-S29-V6			Aqs			a type of garment							
! n f_ H			G1-N29-D46-N14-A40			Aqd			a star							
!?\			G1-V31-D36			Ak			be bent of elbow							
!? M D			G1-V31-D21-E128			Akr			Aker, the earth, earth-gods				divinity			
!? M m 5			G1-V31-D21-I14-Z2			Akrw			earth - gods							
!? M H 6			G1-V31-D21-A40-Z3			Akrw			earth - gods							
!? M ' }			G1-V31-D21-G7-N33A			Akrw			earth - gods							
!! 8			G1-X1-A24			Ayt			blanch							
!! b			G1-X1-I3			Adw			aggressor							
!! 1 1 ! o p			G1-X1-M17-M17-X1-D56-B1			ATyt			nurse							
! g 1 :! #			G1-U33-M17-Z7-X1-M3			ATwt			bed							
!! h J			G1-X1-I9-F7D			Atf			be crowned							
P			S8			Atfw			Atef crown							
!! h K P			G1-X1-I9-G43-S8			Atfw			Atef-crown							
!! h P 5			G1-X1-I9-S8-Z2			Atfw			Atef crown							
!! h K J			G1-X1-I9-G43-F7			Atfw			Atef crown							
!- t			G1-V13-B5D			AT			nurse							
!- 1 1 t			G1-V13-M17-M17-B5			AT			nurse				verb			
!! 1 1 ! o p			G1-X1-M17-M17-X1-D56-B1			AT			nurse				noun			
!- 1 1 ! t			G1-V13-M17-M17-X1-B5D			ATyt			nurse							
!-! X			G1-V13-X1-Q18			ATwt			bed							
!- K ! #			G1-V13-G43-X1-M3			ATwt			bed							
! g 1 :! #			G1-U33-M17-Z7-X1-M3			ATwt			bed							
!-# )			G1-V13-Q3-A9			ATp			load, be laden							
!! # )			G1-X1-Q3-A9			ATp			load a ship							
!! # } `			G1-X1-Q3-A125-D40			ATp			load a ship							
) 8			A9-A24			ATp			be heavy laden with trouble							
!! # K ) 8			G1-X1-Q3-G43-A9-A24			Atpw			load, cargo							
) : + 5			A9-Z7-Y1-Z2			Atpw			cargo				noun			
) # : + 5			A9-Q3-Z7-Y1-Z2			Atpw			cargo				noun			
!! # K ! ) `5			G1-X1-Q3-G43-X1-A9-D40-Z2			Atpwt			load, cargo							
!! # 1 1 ! )			G1-X1-Q3-M17-M17-X1-A9			Atpwt			cargo							
!! # ) #			G1-X1-Q3-A9-M3			Atp			coffer							
! fn			G1-D46-D54			Ad			quiver, palpitate							
! fb			G1-D46-I3			Ad			be savage, be aggressive, be angry, attack, anger							
! f K b!			G1-D46-G43-I3-A1			Adw			aggressor							
! f K \ !			G1-D46-G43-D36-A1			Adw			aggressor							
!! b			G1-X1-I3			Adw			aggressor							
! f L			G1-D46-Aa2			Ad			decay							
! f! + 8			G1-D46-X1-Y1-A24			Adt			prepare a sleeping place							
! f! 8 8			G1-D46-X1-Z5-A24			Adt			prepare							
1 s s s			M17-F51-F51-F51			i			flesh							
1 " 5			M17-M2-Z2			i			reeds, leaves							
1 4 " 5			M17-Z1-M2-Z2			i			reeds, leaves of reeds							
!			A1			i			I, me, my				suffix pronoun			
1			M17			i			I,me,my				suffix pronoun			
H			A40			i			I,me,my				suffix pronoun			
R			A50			i			I,me,my				suffix pronoun			
1 !			M17-A1			i			I,me,my				suffix pronoun			
"			M2			i			I, me, my				sportive writing			
1 "			M17-A2			i			O!, say, utterance							
1 :			M17-A26			i			O !				interjection			
1 !! g			M17-G1-X1-F37			iAt			back, spine of man, animal							
g ! 4			F37-X1-Z1			iAt			back, spine of man, animal,middle of river, lake							
1 !! g 2			M17-G1-X1-F37-F51B			iAt			back, spine of man, animal							
1 !! g ! 4			M17-G1-X1-F37-X1-Z1			iAt			back, spine of man, animal, middle of river, lake							
1 !! 7			M17-G1-X1-R12			iAt			standard for cult objects							
1 !! o			M17-G1-X1-N30			iAt			mound, ruin							
1 ! o			M17-X1-N30			iAt			mound, ruin							
o! 4 h			N30-X1-Z1-N23			iAt			mound, ruin							
L ! 4 !    +			O44-X1-Z1			iAt			office, function							
1 !   8 5 !    +			M17-G1-X1-Z5-Y1-Z2			iAt			office, function							
1 ! K   L 5			M17-G1-G43-X1-O44-Y1-Z2			iAwt			offices, functions				plural			
1 !! .			M17-G1-X1-G14			iAt			a milk - goddess				divinity			
> ! ! b			R19-X1-X1-W24			iAtt			milk, cream							
> ! ! b			R19A-X1-X1-W24			iAtt			milk, cream							
} ! ! a			S152-X1-X1-W23			iAtt			milk, cream							
1 ! >			M17-G1-A30			iAi			adore							
>			A30			iAw			adoration							
1 ! K >			M17-G1-G43-A30			iAw			adoration							
1 ! >			M17-G1-A30			iAw			adoration							
1 > 6			M17-A30-Z3			iAw			adoration							
1 ! > } 6			M17-G1-A30-Y1V-Z3			iAw			adoration							
1 ! K > + 5			M17-G1-G43-A30-Y1-Z2			iAw			adoration							
1 !! f 5			M17-G1-G1-N21-Z2			iAA			mounds of rubble							
1 !! 1 1 ! "			M17-G1-G1-M17-M17-X1-M2			iAAyt			rod, reed, rushes							
1 !!! B			M17-G1-G1-X1-M34			iAAyt			rod, reeds, rushes							
1 !!! r			M17-G1-G1-X1-S42			iAAyt			rod, reeds, rushes							
1 !!! "			M17-G1-G1-X1-M2			iAAyt			rod, reeds, rushes							
1 !!! #			M17-G1-G1-X1-M3			iAAyt			rod, reeds, rushes							
3			A19			iAwi			be aged, attain old age, old age				verb and noun			
1 ! K 3 1 ! K 3			M17-G1-G43-A19			iAwi			be aged, attain old age, old age							
1 K ! 7 3			M17-G43-G1-Z4-A19			iAwi			be aged, attain old age, old age				verb and noun			
1 ! K ! 3			M17-G1-G43-X1-A19			iAwt			old age							
3 !			A19-X1			iAwt			old age							
1 ! K 3 !			M17-G1-G43-A19-A1			iAw			old man							
1 ! 3			M17-G1-A19			iAw			old man							
1 ! 1 1 ! p			M17-G1-M17-M17-X1-B1			iAyt			old woman							
1 ! 1 1 ! 3 p			M17-G1-M17-M17-X1-A19-B1			iAyt			old  woman							
1 !! 3			M17-G1-X1-A19			iAyt			old  woman							
1 !! K L ] 5			M17-G1-X1-G43-O44-F27-Z2			iAwt			herds							
:			R15			iAby			left hand, east, eastern, the left side of							
: q 7 a			R15-D58-Z4-D41			iAby			left hand, east, eastern, left-side of							
: q j			R15-D58-N25			iAby			left hand, east, eastern, the left side of							
: q a			R15-D58-D41			iAby			left hand, east, eastern, the left side of							
] q 7 a			U23-D58-Z4-D41			iAby			left hand, east, eastern, the left side of							
: q ! j			R15-D58-X1-N25			iAbt			the East							
: !			R15-X1			iAbt			the East							
			R15-X1-D58-O49-X1-Z1			iAbt			the East							
1 ! q !			M17-G1-D58-X1			iAbt			the East							
: q 3 s 5			R15-D58-T19-F51-Z2			iAb			finger, toe nail							
: q ! 7			R15-D58-X1-Z4			iAbty			east, eastern, left-hand							
! : 7			X1-R15-Z4			iAbty			east, eastern, left - hand, the East							
: q ! j			R15-D58-X1-N25			iAbty			east, eastern							
1 ! q g			M17-G1-D58-U33			iAbty			east, eastern							
: q ! G			R15-D58-X1-O39			iAbty			east, eastern							
: q ! 7 h			R15-D58-X1-Z4-N23			iAbty			left - hand							
: q !! p 5			R15-D58-G1-A1-B1-Z2			iAbtyw			Easterners							
: $ 5			R15-G4-Z2			iAbtyw			Easterners							
: q ! $ h 4			R15-D58-X1-G4-N23-Z1			iAbtyw			the east of							
: q $j			R15-D58-G4-N25			iAbtyw			the east of							
: $f 4			R15-G4-N21-Z1			iAbtyw			the east of							
: `			R15-P5			iAb			the east wind							
: `!			R15-P5-X1			iAbt			the east wind							
: q ! `			R15-D58-X1-P5			iAbt			the east wind							
1 ! q `			M17-G1-D58-P5			iAb			the east wind							
: q ! ! j			R15-D58-X1-X1-N25			iAbtt			the East							
: ! !			R15-X1-X1			iAbtt			the East							
: q ! h ! 4			R15-D58-X1-N23-X1-Z1			iAbtt			the East							
: q ! ! #			R15-D58-X1-X1-M3			iAbtt			snare ?							
: q :] 6			R15-D58-Z7-F27-Z3			iAbw			leopard							
1 ! 1 !			M17-G1-G17-V1			iAm			bind the sacrifice							
1 ! 1 p			M17-G1-G17-T30A			iAm			bind the sacrifice							
! 1 p			G1-G17-T30A			iAm			bind the sacrifice							
1 ! 1 r			M17-G1-G17-S42			iAm			offer to							
1 ! M K " 5			M17-G1-D21-G43-M2-Z2			iArw			rushes plants							
1 ! M M ?			M17-G1-D21-D21-D7			iArr			be dim, be weak of heart							
1 ! M M <E			M17-G1-D21-D21-D4-G37			iArr			be dim of eye, be weak of heart							
1 ! M M ! K			M17-G1-D21-D21-X1-M43			iArrt			vine							
1 < M ! K			M17-D4-D21-X1-M43			iArrt			vine							
1 ! M M ! = r 5			M17-G1-D21-D21-X1-D5-N33-Z2			iArrt			grapes							
1 ! M ! ;			M17-G1-D21-X1-D3			iArt			lock of hair							
1 ! B K Y			M17-G1-Aa1-G43-N8			iAxw			sunshine, radiance							
Y K H			N8-G43-A40			iAxw			radiance as a god							
1 ! B K H			M17-G1-Aa1-G43-A40			iAxw			radiance as a god							
1 ! e <			M17-G1-S29-A28			iAs			bald							
! BC			G1-O34-Aa2			iAs			bald							
1 e C			M17-S29-Aa2			iAs			bald							
1 e <			M17-S29-A28			iAs			bald							
1 ! v"			M17-G1-N37-A2			iAS			call, summon							
1 7 n @			M17-G23-N29-A32B			iAq			leap							
1 ! n ! " 5			M17-G1-N29-X1-M2-Z2			iAqt			leeks, vegetables							
1 !? K 3 6			M17-G1-V31-G43-A19-Z3			iAkw			the aged							
1 !?: 4 j			M17-G1-V31-Z7-A20-N25			ikw			stone-quarry							
1 !? q ;			M17-G1-V31-D58-D3			iAkb			mourning, wailings							
1 " ? q ;"			M17-A2-V31-D58-D3-A2			iAkb			mourning, wailings plural							
1 !? q 1 1 , ; 5			M17-G1-V31-D58-M17-M17-B77-D3- Z2			iAkby			mourners							
1 !- p E			M17-G1-V13-D57-G37			iAT			be injured, be distorted, be missing, abate							
1 !! p			M17-G1-X1-D57			iAT			be injured, be distorted, be missing from, abate of fever							
1 !- K p ! 5			M17-G1-V13-G43-D57-O1-Z2			iATw			shambles							
1 !! K p ! 5			M17-G1-X1-G43-D57-O1-Z2			iATw			shambles							
1 !! $! 5			M17-G1-X1-G4-O1-Z2			iATw			shambles							
1 !! $p			M17-G1-X1-G4-D57			iAtyw			mutilation							
1 ! f 1 !			M17-G1-D46-A17-A1			id			boy							
1 ! f E			M17-G1-D46-G37			idw			pestilence							
